Peak: 0.46 , Signal: 0.41 , 22909 ms,
Peak: 0.86 , Signal: 0.42 , 26040 ms,
Peak: 0.66 , Signal: 0.42 , 29316 ms,
Peak: 0.69 , Signal: 0.41 , 53653 ms,
Peak: 0.88 , Signal: 0.52 , 56381 ms,
Peak: 0.71 , Signal: 0.46 , 63528 ms,
Peak: 0.65 , Signal: 0.38 , 99485 ms,
Peak: 0.55 , Signal: 0.41 , 120669 ms,
Peak: 0.75 , Signal: 0.48 , 128553 ms,
Peak: 0.56 , Signal: 0.37 , 128867 ms,
Peak: 0.72 , Signal: 0.50 , 134734 ms,
Peak: 0.75 , Signal: 0.43 , 154781 ms,
Peak: 0.57 , Signal: 0.38 , 164751 ms,
Peak: 0.65 , Signal: 0.42 , 176184 ms,
Peak: 1.10 , Signal: 0.38 , 178024 ms,
Peak: 1.00 , Signal: 0.50 , 195168 ms,
Peak: 0.89 , Signal: 0.55 , 212566 ms,
Peak: 0.88 , Signal: 0.45 , 230030 ms,
Peak: 0.80 , Signal: 0.47 , 248702 ms,
Peak: 0.64 , Signal: 0.46 , 272964 ms,
Peak: 0.59 , Signal: 0.41 , 280979 ms,
Peak: 4.32 , Signal: 5.00 , 291185 ms,
Peak: 1.04 , Signal: 2.13 , 291287 ms,
Peak: 3.38 , Signal: 5.00 , 292150 ms,
Peak: 0.62 , Signal: 0.61 , 292152 ms,
Peak: 0.61 , Signal: 0.44 , 299377 ms,
Peak: 0.62 , Signal: 0.39 , 357747 ms,
Peak: 0.69 , Signal: 0.44 , 364768 ms,
Peak: 0.64 , Signal: 0.42 , 433956 ms,
Peak: 0.82 , Signal: 0.42 , 436448 ms,
Peak: 0.71 , Signal: 0.45 , 441201 ms,
Peak: 0.58 , Signal: 0.44 , 451006 ms,
Peak: 1.03 , Signal: 0.43 , 460535 ms,
Peak: 0.87 , Signal: 0.46 , 471645 ms,
Peak: 0.62 , Signal: 0.43 , 501897 ms,
Peak: 0.58 , Signal: 0.45 , 505710 ms,
Peak: 0.74 , Signal: 0.40 , 552369 ms,
Peak: 0.93 , Signal: 0.37 , 557019 ms,
Peak: 0.64 , Signal: 0.49 , 567196 ms,
Peak: 0.69 , Signal: 0.73 , 567283 ms,
Peak: 0.73 , Signal: 0.64 , 567286 ms,
Peak: 1.00 , Signal: 0.50 , 574638 ms,
Peak: 0.69 , Signal: 0.36 , 629531 ms,
Peak: 0.69 , Signal: 0.37 , 674855 ms,
Peak: 0.71 , Signal: 0.39 , 678725 ms,
Peak: 0.79 , Signal: 0.47 , 681510 ms,
Peak: 1.12 , Signal: 0.46 , 691033 ms,
Peak: 0.55 , Signal: 0.39 , 697396 ms,
Peak: 0.65 , Signal: 0.37 , 698788 ms,
Peak: 0.69 , Signal: 0.40 , 721786 ms,
Peak: 0.79 , Signal: 0.31 , 758656 ms,
Peak: 0.62 , Signal: 0.45 , 763265 ms,
Peak: 0.66 , Signal: 0.39 , 765306 ms,
Peak: 0.71 , Signal: 0.44 , 808596 ms,
Peak: 0.82 , Signal: 0.43 , 820430 ms,
Peak: 0.71 , Signal: 0.40 , 842205 ms,
Peak: 0.84 , Signal: 0.40 , 846712 ms,
Peak: 0.83 , Signal: 0.81 , 848986 ms,
Peak: 0.83 , Signal: 1.81 , 848989 ms,
Peak: 0.93 , Signal: 0.38 , 849072 ms,
Peak: 0.64 , Signal: 0.42 , 849086 ms,
Peak: 0.76 , Signal: 0.44 , 849107 ms,
Peak: 0.69 , Signal: 0.42 , 849123 ms,
Peak: 0.97 , Signal: 0.49 , 849143 ms,
Peak: 0.75 , Signal: 0.39 , 849171 ms,
Peak: 0.80 , Signal: 0.46 , 849436 ms,
Peak: 0.97 , Signal: 0.48 , 849588 ms,
Peak: 0.66 , Signal: 0.52 , 849702 ms,
Peak: 0.93 , Signal: 0.39 , 849802 ms,
Peak: 0.87 , Signal: 0.42 , 849942 ms,
Peak: 0.82 , Signal: 0.35 , 850021 ms,
Peak: 0.67 , Signal: 0.40 , 850110 ms,
Peak: 0.97 , Signal: 0.44 , 850186 ms,
Peak: 0.95 , Signal: 0.48 , 850272 ms,
Peak: 0.73 , Signal: 0.39 , 850276 ms,
Peak: 0.79 , Signal: 0.44 , 850353 ms,
Peak: 0.78 , Signal: 0.35 , 850589 ms,
Peak: 0.82 , Signal: 0.50 , 850988 ms,
Peak: 0.61 , Signal: 0.48 , 852222 ms,
Peak: 0.75 , Signal: 0.45 , 853519 ms,
Peak: 0.64 , Signal: 0.37 , 854169 ms,
Peak: 0.62 , Signal: 0.39 , 854736 ms,
Peak: 0.78 , Signal: 0.41 , 867730 ms,
Peak: 1.06 , Signal: 0.46 , 899873 ms,
Peak: 1.20 , Signal: 0.37 , 902398 ms,
Peak: 1.56 , Signal: 0.48 , 918138 ms,
Peak: 1.18 , Signal: 0.46 , 921781 ms,
Peak: 0.87 , Signal: 0.45 , 996098 ms,
Peak: 0.77 , Signal: 0.43 , 1004865 ms,
Peak: 0.67 , Signal: 0.47 , 1028275 ms,
Peak: 0.53 , Signal: 0.40 , 1039849 ms,
Peak: 0.79 , Signal: 0.35 , 1056625 ms,
Peak: 0.67 , Signal: 0.47 , 1100692 ms,
Peak: 0.66 , Signal: 0.42 , 1108379 ms,
Peak: 0.66 , Signal: 0.48 , 1115017 ms,
Peak: 1.28 , Signal: 0.38 , 1116459 ms,
Peak: 0.82 , Signal: 0.45 , 1125864 ms,
Peak: 0.61 , Signal: 0.42 , 1139352 ms,
Peak: 0.68 , Signal: 0.49 , 1140156 ms,
Peak: 0.69 , Signal: 0.35 , 1146256 ms,
Peak: 1.20 , Signal: 0.54 , 1178867 ms,
Peak: 0.73 , Signal: 0.46 , 1208008 ms,
Peak: 0.69 , Signal: 0.48 , 1237753 ms,
Peak: 1.08 , Signal: 0.39 , 1238577 ms,
Peak: 0.97 , Signal: 0.36 , 1243938 ms,
Peak: 0.77 , Signal: 0.41 , 1248391 ms,
Peak: 0.63 , Signal: 0.37 , 1250152 ms,
Peak: 0.97 , Signal: 0.41 , 1321341 ms,
Peak: 0.54 , Signal: 0.53 , 1335948 ms,
Peak: 0.98 , Signal: 0.46 , 1362932 ms,
Peak: 0.66 , Signal: 0.36 , 1367309 ms,
Peak: 0.80 , Signal: 0.46 , 1371355 ms,
Peak: 0.72 , Signal: 0.41 , 1388709 ms,
Peak: 0.71 , Signal: 0.43 , 1407423 ms,
Peak: 0.62 , Signal: 0.43 , 1453288 ms,
Peak: 1.37 , Signal: 0.39 , 1491976 ms,
Peak: 0.95 , Signal: 0.48 , 1528774 ms,
Peak: 0.60 , Signal: 0.43 , 1541132 ms,
Peak: 0.62 , Signal: 0.51 , 1542151 ms,
Peak: 0.60 , Signal: 0.49 , 1561042 ms,
Peak: 0.73 , Signal: 0.49 , 1566377 ms,
Peak: 0.85 , Signal: 0.50 , 1579638 ms,
Peak: 0.82 , Signal: 0.40 , 1623566 ms,
Peak: 0.71 , Signal: 0.42 , 1642012 ms,
Peak: 0.58 , Signal: 0.45 , 1667838 ms,
Peak: 0.68 , Signal: 0.45 , 1705580 ms,
Peak: 0.55 , Signal: 0.40 , 1711655 ms,
Peak: 0.70 , Signal: 0.47 , 1713638 ms,
Peak: 0.68 , Signal: 0.38 , 1720508 ms,
Peak: 1.26 , Signal: 0.39 , 1740644 ms,
Peak: 0.69 , Signal: 0.43 , 1746671 ms,
Peak: 0.87 , Signal: 0.39 , 1750876 ms,
Peak: 0.99 , Signal: 0.39 , 1751971 ms,
Peak: 0.63 , Signal: 0.47 , 1761581 ms,
Peak: 0.63 , Signal: 0.43 , 1798240 ms,
Peak: 0.61 , Signal: 0.46 , 1817648 ms,
Peak: 1.30 , Signal: 0.41 , 1820168 ms,
Peak: 0.65 , Signal: 0.44 , 1822743 ms,
